id_especie|nombre
1|Aplidium elegans
2|Arbacia lixula
3|Asparagopsis taxiformis
4|Astroides calycularis
5|Bonellia viridis
6|Clathrina clathrus
7|Clavellina nana
8|Corallina elongata
9|Crambe crambe
10|Dendropoma petraeum
11|Dictyota sp
12|Eunicella sp
13|Filograna implexa
14|Gelidium sp.
15|Halopteris filicina
16|Hemymicale columella
17|Holothuria sp
18|Ircinia sp
19|Jania rubens
20|Lithophyllum sp.
21|Mesophyllum sp.
22|Myriapora truncata
23|Oscarella lobularis
24|Padina pavonica
25|Paracentrotus lividus
26|Paramuricea clavata
27|Pentapora fascialis
28|Peysomnellia squamaria
29|Phorbas tenacior
30|Polycitor adriaticus
31|Protula sp.
32|Reteporella (=Sertella) septentrionalis
33|Codium bursa
34|Dilophus spiralis
35|Echinaster sepositum
36|Dictyopteris membranacea 
37|Haliclona mediterranea
38|Dysidea avara
39|Chartella sp
40|Cellaria salicornioides
41|Parazoanthus axinellae
42|Aplidium sp
43|Amphiroa rigida
44|Codium sp
45|Pleraplysilla spinifera
46|Ophidiaster ophidianus
47|Aglaophenia sp.
48|Plocamium sp
49|Condylactis aurantiaca 
50|Chondrosia reniformes
51|Clavularia sp
52|Sphaerechinus granularis
53|Alcyonum acaule
54|Cliona sp
55|Colpomenia sinuosa
56|Calliactis parasitica
57|Sertularella sp
58|Holoturia sanctori
59|Octopus vulgaris
60|Phymatholitum calcareum
61|Astropecten aranciacus
62|Cymodocea nodosa
63|Sarcotragus sp
64|Acanthella acuta
65|Serpula vermicularis
66|Cystoseira mediterranea 
67|Cereus pedunculatus
68|Cladostephus sp.
69|Diplosoma spongiforme
70|Antedon sp
71|Plocamium cartilagineum
72|Zonaria tournefourtii
73|Acetabularia acetabulum
74|Pinna rudis 
75|Balanophyllia sp
76|Aiptasia mutabilis
77|Aplysia fasciata
78|Alcyonum palmatum
79|Arthrocladia villosa
80|Aplidium conicum
81|Sporochnus pedunculatus
82|Leptogorgia lusitanica
83|Leptogorgia sarmentosa
84|Flabellina affinis
85|Hypselodoris picta
86|Anemonia sulcata
87|Leptosamnia pruvoti
88|Ciona sp
89|Pseudodistoma crucigaster
90|Phorbas fictitius
91|Chaetaster longipes
92|Astraea rugosa
93|Valonia utricularis
94|Charonia lampas
95|Schizobrachiella sanguinea
96|Caberea boryi
97|Parerythropodium coralloides
98|Hypselodoris sp
99|Phyllariopsis brevipes
100|Dysidea fragilis
101|Ascidia mentula
102|Marthasterias glacialis
103|Cariophyllia sp
104|Astrospartus mediterraneus
105|Savalia savaglia
106|Hermodice carunculata
107|Calyx nicaeensis
108|Axinella damicornis
109|Epizoanthus sp
110|Petrosia ficiformis
111|Scyllarus arctus
112|Eudendrium sp
113|Berthellina edwarsii
114|Luria lurida
115|Ophiothrix fragilis
116|Brachiopoda
