numero|nomenclatura|longitud|latitud|tipo_gps|profundidad|fecha|orientacion|tipo_sustrato|facies|especies|observaciones
37|Charrana 13|3º 00´38.2´´|35º 23´33,0´´|garmin|5|2012-09-05|2|roca|9|20(2), 12(1), 9(2), 24(2), 25(2), 15(3), 3(1), 52(1), 74(1), 47(1)|
38|Charrana 14|3º 01´11,8´´|35º 23´30,1´´|garmin|30|2013-09-14|2|arena|3||ROV: video 12 (arena gruesa y cascajo)
39|Charrana 15|3º 00´57,8´´|35º 24´09,5´´|garmin|30|2013-09-14|2|arena|3||ROV: videos 13 y 14
40|Charrana 16|3º 00´52,0´´|35º 24´28,9´´|garmin|40|2013-09-14|2|arena|3||ROV: video 15
41|Charrana 17|3º 00´49,2´´|35º 24´30,3´´|garmin|34|2013-09-14|2|arena|3||ROV: video 16
42|Charrana 18|3º 00´40,1´´|35º 24´50,6´´|garmin|30|2013-09-14|2|arena|3||ROV: video 17
43|Charrana 19|3º 00´07,5´´|35º 25´13,3´´|garmin|20|2013-09-14|2|arena|3||ROV: video 18
44|Charrana 20|3º 00´04,6´´|35º 25´21,3´´|garmin|20|2013-09-14|2|arena|3||ROV: video 19
45|Charrana 21|2º 59´49,8´´|35º 25´25,9´´|garmin|10|2013-09-14|2|roca|8, 10|20(3), 66(3), 12(3), 9(2), 25(2)|ROV: video 20
46|Charrana 22|2º 59´45,2´´|35º 25´26,2´´|garmin|5|2013-09-14|2|roca|8, 9|20(2), 15(3), 66(3), 12(2), 25(2), 71(1)|ROV: video 21
47|Charrana 23|2º 59´46,0´´|35º 25´48,1´´|garmin|10|2013-09-14|2|roca|8, 10|12(3), 9(2), 4(2), 1(1), 66(3)|ROV: video 22
48|Cabo Viejo 1|2º 59´56,8´´|35º 25´50,7´´|garmin|20|2013-09-14|2|roca|5|12(3), 9(2), 4(2), 1(1), 78(1), 63(1), 27(2), 32(1), 30(1), 1(1), 20(1), 79(1), 6(1), 11(1), 80(1), 18(1), 33(1), 53(1), 38(1), 81(1), 85(1), 89(1)|ROV: video 23
49|Cabo Viejo 2|-334237,313|4220855,463|topcom|20|2013-09-15|2|arena|3||
50|Cabo Viejo 3|-333569,914|4221763,136|topcom|10|2013-09-15|2|roca|8, 10|66(3), 12(3), 25(2), 9(2), 15(2), 3(2), 33(1), 29(1), 23(1), 38(1), 4(2), 42(1), 28(1), 58(1), 20(2), 54(1), 41(1), 83(1), 30(1), 2(1), 46(1), 31(1), 6(1), 65(1), 22(1), 52(1)|
51|Cabo Viejo 4|ver observaciones|ver observaciones|ver observaciones|5|2013-09-15|2|roca|8|66(3), 12(2), 3(2), 4(2), 15(2), 20(1), 33(1), 28(1), 16(1), 30(1), 9(1), 6(1), 46(1), 43(1), 84(1)|Interpolar coordenadas a partir del punto de 10 m (punto nº 50), hacia tierra.
